Field,lower.taxon,upper.taxon,guild1,guild2,interaction_type,weight
557,Lepi_9,Hym5,herbivore,parasitoid,parasitoidism,1
557,Lepi_9,Hym8,herbivore,parasitoid,parasitoidism,1
557,pl1,Lepi_1,plant,herbivore,herbivory,6
557,pl1,Lepi_15,plant,herbivore,herbivory,1
557,pl1,po2,plant,pollinator,pollination,19
557,pl1,po53,plant,pollinator,pollination,1
557,pl1,po58,plant,pollinator,pollination,1
557,pl11,po34,plant,pollinator,pollination,16
557,pl11,po44,plant,pollinator,pollination,1
557,pl11,po47,plant,pollinator,pollination,4
557,pl11,po53,plant,pollinator,pollination,2
557,pl11,po7,plant,pollinator,pollination,1
557,pl11,po78,plant,pollinator,pollination,1
557,pl11,po80,plant,pollinator,pollination,4
557,pl11,po81,plant,pollinator,pollination,1
557,pl11,po82,plant,pollinator,pollination,1
557,pl11,poNA,plant,pollinator,pollination,1
557,pl14,Lepi_16,plant,herbivore,herbivory,2
557,pl18,po34,plant,pollinator,pollination,1
557,pl2,Lepi_20,plant,herbivore,herbivory,1
557,pl2,Lepi_23,plant,herbivore,herbivory,2
557,pl20,po18,plant,pollinator,pollination,11
557,pl20,po34,plant,pollinator,pollination,1
557,pl20,po88,plant,pollinator,pollination,9
557,pl22,Lepi_9,plant,herbivore,herbivory,1
557,pl23,po34,plant,pollinator,pollination,1
557,pl23,po47,plant,pollinator,pollination,1
557,pl3,po52,plant,pollinator,pollination,1
557,pl3,po7,plant,pollinator,pollination,1
557,pl3,po78,plant,pollinator,pollination,1
557,pl4,Lepi_9,plant,herbivore,herbivory,1
557,pl5,po2,plant,pollinator,pollination,13
557,pl5,po34,plant,pollinator,pollination,5
557,pl5,po7,plant,pollinator,pollination,1
557,pl5,po82,plant,pollinator,pollination,1
557,pl7,Lepi_9,plant,herbivore,herbivory,4
557,pl8,Lepi_11,plant,herbivore,herbivory,2
557,pl8,Lepi_3,plant,herbivore,herbivory,9
557,pl9,Lepi_14,plant,herbivore,herbivory,5
558,Lepi_1,Hym1,herbivore,parasitoid,parasitoidism,2
558,Lepi_14,Hym3,herbivore,parasitoid,parasitoidism,5
558,pl1,Lepi_1,plant,herbivore,herbivory,9
558,pl1,po58,plant,pollinator,pollination,1
558,pl1,po78,plant,pollinator,pollination,1
558,pl11,po13,plant,pollinator,pollination,2
558,pl11,po47,plant,pollinator,pollination,3
558,pl11,po80,plant,pollinator,pollination,1
558,pl14,Lepi_16,plant,herbivore,herbivory,3
558,pl14,Lepi_18,plant,herbivore,herbivory,2
558,pl17,po157,plant,pollinator,pollination,1
558,pl17,po42,plant,pollinator,pollination,1
558,pl18,po13,plant,pollinator,pollination,6
558,pl18,po18,plant,pollinator,pollination,1
558,pl18,po34,plant,pollinator,pollination,1
558,pl18,po47,plant,pollinator,pollination,3
558,pl18,po80,plant,pollinator,pollination,1
558,pl18,po82,plant,pollinator,pollination,1
558,pl2,Lepi_18,plant,herbivore,herbivory,1
558,pl21,po13,plant,pollinator,pollination,1
558,pl24,po34,plant,pollinator,pollination,1
558,pl34,Lepi_8,plant,herbivore,herbivory,1
558,pl4,po148,plant,pollinator,pollination,1
558,pl4,po34,plant,pollinator,pollination,1
558,pl4,po47,plant,pollinator,pollination,1
558,pl5,po13,plant,pollinator,pollination,3
558,pl5,po18,plant,pollinator,pollination,2
558,pl5,po2,plant,pollinator,pollination,10
558,pl5,po25,plant,pollinator,pollination,1
558,pl5,po27,plant,pollinator,pollination,1
558,pl5,po34,plant,pollinator,pollination,4
558,pl5,po47,plant,pollinator,pollination,1
558,pl5,poNA,plant,pollinator,pollination,1
558,pl6,po34,plant,pollinator,pollination,1
558,pl8,po2,plant,pollinator,pollination,5
558,pl9,Lepi_14,plant,herbivore,herbivory,9
558,pl9,Lepi_18,plant,herbivore,herbivory,1
